AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQVR,RIBL,RIBR,RID,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDVL,SMDVR,URYDL,URYDR,URYVL
208.1495914,286.2742894,267.1157363,360.9963548,15.07502452,17.85834289,157.8432627,74.20107761,48.61833997,74.33519805,42.42956787,51.1537121,32.87308075,49.94238907,8.103267564,19.45927156,40.18709431,8.664709122,12.25940926,216.8020912,20.77218993,84.27992073,18.78435859,19.33668889,25.09077132,11.88371198,51.12608341,83.96831024,9.753061034
200.7449941,256.7059041,233.6992242,342.3570059,23.23957917,19.63237101,137.9274388,62.18539437,44.28534534,58.83354023,38.79366613,49.06504924,29.78550315,39.11369206,5.342021216,8.64677826,30.31664403,11.24785095,13.29333181,195.7096259,22.24350661,75.12883863,20.34225322,26.78456126,19.99986837,12.53836628,46.28045327,78.35340756,9.674037867
199.5629183,215.2100672,233.3740824,356.6501785,23.78701856,11.95159387,139.703162,63.66347209,43.57141027,53.11666033,37.93261237,42.85768784,27.9147817,38.57583925,6.20056446,7.338150428,32.86811766,11.52387138,13.04740037,233.89549,14.26219117,70.84064883,4.417002388,17.70325533,20.67957725,12.05640945,42.94849884,68.26551307,5.404544393
216.9893418,260.4949436,250.7345493,330.4233656,14.89937532,10.96137591,146.7441706,64.27906064,47.56018297,61.31301339,38.60742607,45.92533646,26.11153724,35.59630973,4.185603556,5.782899537,30.66676116,9.189063408,8.615675053,250.6746455,14.69198369,89.24983431,15.91164782,27.47525447,24.91402999,11.49427381,41.61816658,71.34395833,0
208.143398,284.2838144,262.0665113,333.33613,21.29434273,19.53417127,170.0548579,74.86020769,46.08661677,55.1085088,40.34776767,50.38170137,38.80015818,48.72865998,14.49501721,14.8196196,36.3477879,16.08774975,15.54992364,256.8378104,21.25065927,79.34698364,21.20812598,16.02373887,27.79571703,22.92512209,49.05771895,81.16637503,14.55897649
189.7807703,256.3049853,240.406274,328.1271826,27.52971358,15.78991247,149.9741119,77.04913525,44.51665871,50.17528793,45.32236351,46.67424486,38.44543593,49.191544,12.8253861,9.076052374,31.0420212,9.275309757,20.2495465,259.8600157,19.4343246,88.9882931,14.87428874,53.06598773,32.25621783,22.08416768,44.19848046,82.82477951,19.70355567
181.6904049,243.8241198,279.3846623,336.752895,18.30435591,18.73785761,158.3310526,72.43263219,31.00811367,56.94706512,41.24000214,59.68597058,45.69891997,63.41462511,14.99367151,13.30980046,38.6113746,13.45653196,16.74151748,267.6403138,31.20215661,85.1338673,23.43190322,41.01850482,43.29326247,22.44706259,44.8883311,88.32131089,21.02503741
161.3510334,215.7553853,257.4860081,355.0889232,29.48015454,20.7591131,145.7758353,76.66309619,41.34396179,70.66097443,50.62423179,57.71781826,39.5865772,58.88113681,18.89944032,15.59621729,42.90392335,12.02652164,22.25224374,287.6312331,35.90959537,88.31014533,22.3645523,28.74516045,41.25169112,25.6126504,50.56106683,86.61406546,22.78017893
179.5524081,192.7790318,248.8837347,339.6496786,36.96758871,23.83884582,146.2159047,95.92061884,34.20817344,65.38316575,51.61597485,58.25099526,42.32487998,51.44728201,14.30585247,18.52493445,43.7769019,16.27193916,23.1571694,318.1301455,43.26158173,81.27246409,29.09021468,29.1304,37.85613119,26.25626017,51.01573757,88.59396638,21.52125447
177.8096153,137.0176798,232.4667384,351.61529,22.01232649,14.44291387,135.6074234,82.7249248,17.06230434,34.3480892,39.74227664,49.31979393,36.45018919,47.82056398,10.62494492,15.6034811,37.9340749,9.991597694,14.46618473,312.2854879,40.09313098,77.33746085,15.25850846,23.33482379,24.8938988,19.20339535,39.85279163,74.29921098,18.2280295
200.5607342,129.6643444,207.52689,304.4862493,27.58374339,10.67168169,132.5445892,80.9161428,17.45639557,34.01505682,34.54489117,47.33768765,27.35257852,43.52145654,14.54209209,14.72123322,35.46604568,7.131983317,13.96428862,359.146748,44.55895576,71.90919915,18.66813941,17.79907961,30.70781617,19.18997392,36.02659972,75.62424535,14.96337326
212.1973974,103.9541239,211.4944759,320.7418626,19.15510181,13.44271631,129.2592796,78.91003473,20.97541015,36.85898015,42.23632079,50.76815035,35.93058693,57.82161004,11.47044628,15.98304045,34.60987597,6.820037613,15.61133025,340.8010917,44.73797027,78.46471272,20.26312564,32.9394806,23.25634037,24.42944457,46.36438856,77.79006616,25.66578249
236.4061113,87.74338037,231.1255223,314.8170262,32.7959261,21.75779717,139.3434269,75.80858577,22.48693692,51.26631615,45.02687151,54.79808828,41.6522478,56.45133086,19.01585166,25.54851292,38.14459498,14.71075832,23.2166513,373.6232197,50.49651731,89.38803847,27.59944308,29.99672808,34.24065795,34.55714415,54.84206065,82.19860959,23.85385407
240.8946503,74.51288754,258.5334635,334.8300954,36.4447157,22.63403111,141.8363,76.4361866,20.65887,59.4535136,45.86566976,61.87122767,47.57612351,57.91368681,18.71357311,17.91391501,47.23107494,18.96256178,17.76468419,435.8376199,53.77545344,95.45338135,21.48464535,42.88526597,28.50890921,21.86485426,48.11412229,82.3358349,29.98503442
208.0778332,49.27667727,235.8380893,351.1556928,30.27358877,18.80755274,131.4425879,101.0549194,12.28368353,42.8686231,44.05773401,58.1075191,36.505173,57.44763619,14.64760293,25.11192989,40.56559784,17.09567291,12.8690121,405.1122894,47.89302326,90.66300165,17.71288636,28.14887303,35.35808137,32.60865881,41.95476364,89.06187847,17.17625339
206.3988665,56.87145185,237.0806655,308.6442132,38.94627856,24.23279153,131.9064852,118.8501324,11.14137372,34.44557014,43.2407751,56.88315787,42.06513568,53.59146675,15.31324993,36.03058971,42.86737996,14.93195035,20.12031626,421.5499279,58.73396842,93.94595147,24.88134871,23.22366061,35.55611742,62.671485,47.33498292,81.41153185,23.50733429
200.4027826,53.41945819,238.1996784,325.6772672,40.40906597,29.70755752,141.0850054,107.8583795,18.91779885,39.42668395,52.55961844,52.64906581,39.64518509,58.52887302,11.68130616,35.47979069,43.1345649,14.75429269,32.1864516,400.9624418,60.89357896,114.3027126,29.19944018,31.63941764,43.11321072,60.2891218,53.2812616,81.42484209,26.59957987
192.0336021,38.13264036,226.8887277,290.1677494,35.68546922,19.81534262,126.1215704,86.30442632,9.463863737,38.55436229,43.96437399,48.16396717,32.74779104,53.51599825,8.284603635,25.37184882,35.55810263,8.273373318,18.93220928,391.8004187,50.27086558,98.4942801,20.40359251,23.7538831,33.82882873,36.20713762,37.93448479,74.12453573,20.75964504
